customerID;SeniorCitizen;Partner;Dependents;tenure;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
CC001_New;0;1;1;53;0;0;0;0;0;1;1;2;19.4;1110.35
CC002_New;0;0;0;27;1;1;1;2;2;2;0;4;59.45;1611.65
CC003_New;1;0;0;23;2;1;2;1;1;2;1;4;94.75;2293.6
CC004_New;0;0;0;69;1;2;2;2;2;1;1;0;81.5;5553.25
CC005_New;0;1;1;2;1;1;1;1;2;2;0;1;29.05;44.75
CC006_New;0;0;0;35;2;1;1;1;1;2;1;4;86.45;3029.1
CC007_New;0;1;0;46;1;2;2;1;2;0;0;2;70.6;3231.05
CC008_New;0;0;0;54;2;1;2;1;1;1;1;1;97.2;5129.45
CC009_New;0;1;0;56;2;1;2;1;1;0;1;4;98.25;5508.35
CC0010_New;0;1;0;9;2;1;1;2;1;2;1;1;75.75;655.9
CC0011_New;0;0;0;20;1;2;1;1;2;2;0;1;59.2;1191.2
CC0012_New;0;0;0;11;2;1;2;1;1;2;1;2;75.9;866.4
CC0013_New;1;1;0;30;2;1;2;1;1;2;1;4;90.05;2627.2
CC0014_New;0;1;0;68;1;2;2;2;1;1;0;1;70.95;4741.45
CC0015_New;1;1;0;38;2;1;2;2;1;2;1;4;102.6;4009.2
CC0016_New;1;1;0;17;2;2;1;2;1;2;1;1;85.35;1463.45
CC0017_New;0;0;0;48;2;1;2;2;1;0;1;0;106.1;5082.8
CC0018_New;0;0;0;1;1;1;1;1;1;2;0;4;43.8;43.8
CC0019_New;0;1;1;63;1;2;2;2;1;1;0;4;59.0;3707.6
